100,5.98,13.25,40.82,,7.27,14.05,19.06,
101,8.7,7.57,14.64,,4.6,7.97,8.68,
102,24.39,54.01,93.43,,29.87,38.72,74.39,
103,17.64,23.38,40.47,,12.07,33.5,42.59,
104,20.83,29.95,68.4,,25.92,42.88,50.3,
105,13.07,20.58,22.25,,11.49,38.84,20.7,
106,35.4,62.13,73.74,,29.49,65.53,89.58,
107,9.79,11.16,23.97,,8.51,12.07,22.16,
108,16.56,43.31,66.31,,28.13,37.55,57.18,
109,6.17,15.82,22.8,,6.51,14.48,19.02,
110,18.62,17.13,16.14,,11.04,22.05,28.59,
111,1.45,1.63,15.65,,1.86,2.15,14.82,
112,18.67,55.93,53.74,,19.98,44.28,70.66,
113,22.37,76.59,93.59,,28.5,53.09,123.64,
114,32.94,68.88,89.03,,34.68,68.11,103.18,
115,5.05,9.58,19.21,,6.53,15.25,18.55,
116,18.77,43.16,49.95,,17.9,38.28,59.24,
117,23.14,55.52,129.21,,32.04,69.6,146.23,
118,26.57,56.72,81.03,,27.02,52.79,82.5,
119,16.64,47.62,68.9,,26.08,48.77,57.53,
120,11.69,29.25,43.02,,12.53,28.18,36.77,
121,13.63,54.01,43.07,,18.96,44.94,74.05,
122,15.42,62.13,57.39,,19.65,57.38,86.78,
123,38.34,15,31.15,,17.03,21.68,27.97,
124,21.39,33.14,76.41,,26.12,33.6,77.02,
125,20.58,53.08,74.68,,29.67,68.18,78.04,
126,27.09,71.02,101.12,,24.27,93.88,109.57,
127,17.78,35.34,46.41,,19.65,35.8,52.06,
128,11.91,17.05,33.76,,11.86,36.56,38.44,
129,27.69,62.31,95.88,,27.44,62.2,110.62,
130,5.02,10.82,15.14,,13.58,24.23,29.03,
131,7.98,19,43.3,,11.85,22.07,44.13,
132,19.64,33.26,41.05,,19.59,34.77,59.2,
133,12.24,23.33,28.33,,9.23,17.06,24.71,
134,7.05,14.38,20.14,,7.89,10.6,18.27,
135,6.83,7.79,27.63,,7.68,24.11,19.97,
136,18.58,51.65,70.42,,22.6,36.17,56.8,
137,27.82,43,60.02,,29.4,42.24,71.82,
138,13.54,28.79,53.33,,21.17,27.02,47.23,
139,8.94,19.81,19.02,,8.02,20.1,25.46,
140,9.5,15.11,28.11,,16.25,25.19,25.54,
141,4.06,11.27,17.92,,2.67,12.1,24.97,
142,8.42,38.28,6.21,,13.24,13.23,57.14,
143,26.86,7.53,44.92,,17.62,18.93,40.05,
144,12.21,6.22,14.75,,8.49,23.38,20.41,
145,22.44,45.23,42.23,,23.06,46.81,59.67,
146,7.02,25.32,5.2,,7.29,8.45,33.32,
147,24.56,63.86,50.54,,26.71,46.49,71.72,
148,12.75,60.82,69.48,,31.45,62.27,78,
149,17.02,11.61,23.01,,12.04,20.38,29.65,
150,21.64,46.21,64.53,,16.03,33.36,55.1,
151,11.82,14.23,13.83,,6.54,8.46,18.93,
152,10.49,18.54,32.88,,10.02,15.66,27.3,
153,32.45,35.31,35.9,,23.2,28.31,53.41,
154,15.61,16.21,13.32,,4.31,6.31,23.43,
155,17.19,13.52,16.54,,6.61,8.63,15.34,
156,7.75,27.72,38.87,,10.11,24.69,28.75,
157,9.33,9.3,32.97,,12.04,22.51,47.59,
158,12.35,12.99,18.13,,5.4,18.36,22.62,
159,28.57,63.48,105.92,,30.68,82.37,123.79,
160,20.7,52.33,53.34,,20.12,36.99,53.12,
161,14.26,34.36,53.03,,21.89,27.41,81.14,
162,17.38,19.82,40.37,,7.14,15.19,37.28,
163,31.97,22.67,36.63,,19.04,28.01,51.16,
164,21.15,14.15,18.45,,7.63,11.62,17.76,
165,11.93,28.47,28.22,,7.69,14.95,24,
166,8.53,12.71,25.88,,4.93,8.18,17.02,
167,17.44,31.13,66.44,,16.45,48.22,58.61,
168,4.89,6.4,8.38,,7.63,10.11,7.85,
169,13.65,13.06,23.22,,14.21,23.56,31.23,
170,18.72,12.65,37.37,,13.76,16.74,30.06,
171,32.33,33.91,55.41,,24.81,41.69,53.49,
172,12.77,25.58,33.47,,8.94,16.29,29.49,
173,20.87,8.08,25.33,,18.58,22.2,29.53,
174,21.82,36.51,69.28,,9.45,31.74,40.7,
175,28.24,21.07,46.71,,12.74,24.06,42.83,
176,8.35,20.74,22.21,,10.66,13.36,26.87,
177,22.31,31.19,65.62,,13.78,37.11,40.11,
178,13.52,24.71,26.41,,13.4,22.7,31.07,
179,3.74,27.54,93.69,,9,23.13,93.4,
180,13.1,31.66,39.58,,17.81,25.77,60.2,
181,6.2,5.33,27.12,,5.39,8.55,28.45,
182,21.79,26.06,36.36,,36.44,40.66,52.93,
183,12.14,9.13,13,,9.4,18.38,18.98,
184,16.73,36.42,47.95,,13.73,27.45,62.51,
185,12.95,35.5,82.66,,13.06,35.25,58.74,
186,11.28,13.47,19.16,,5.72,14.08,22.46,
187,17.28,18.22,30.7,,13.74,27.77,33.12,
188,19.02,50.21,54.29,,14.04,37.94,46.65,
189,7.69,14.13,18.41,,14.99,21.54,33.13,
190,25.17,63.59,94.13,,23.59,81.25,117.62,
191,11.02,23.38,51.09,,12.03,11.78,57.37,
192,13.67,32.72,31.76,,14.71,19.65,38.37,
193,10.06,3.58,10.71,,8.47,10.99,14.13,
194,10.21,24.03,44.82,,17.97,21.37,43.39,
195,32.94,33.14,48.82,,24.99,35.75,56.13,
196,19.6,20.5,44.48,,22.83,35.59,63.45,
197,34.73,40.77,89.39,,30,72.72,96.15,
198,25.16,66.61,87.18,,26.82,86.99,111.01,
199,12.91,34.35,40.47,,16.32,24.8,57.13,
200,6.76,20.54,14.26,,6.4,12.62,17.36,
201,31.45,60.58,85.35,,29.88,63.44,108.73,
202,13.9,25.8,34.54,,9.04,15.01,28.36,
203,12.88,8.9,14.77,,6.28,10.84,26.22,
204,12.95,8.82,19.32,,7.62,12.9,16.35,
205,22.58,28.56,41.4,,18.97,43.18,107.72,
206,14.03,13.41,22.72,,6.06,10.33,18.62,
207,10.25,11.15,12,,6.25,13.18,13.68,
208,37.81,47.48,71.33,,26.54,68.06,93.1,
209,10.97,38.62,43.25,,14.39,23.64,40.69,
210,9.23,10.93,28.48,,12.36,21.92,50.93,
211,8.96,32.07,40.16,,15.52,33.41,37.51,
212,12.29,13.74,17.84,,5.54,13.2,29.45,
213,22.67,28.42,47.66,,20.88,23.99,57.11,
214,32.37,37.47,64.12,,21.4,41.23,42.89,
215,7.74,32.22,12.58,,8.89,10.41,10.66,
216,11.56,22.92,48.5,,14.36,55.82,52.28,
217,12.75,32.22,48.78,,14.64,29.72,44.72,
218,16.71,14.88,34.07,,21.3,38.48,43.79,
219,26.21,63.67,90.18,,28.9,59.53,83.05,
220,22.73,11.26,5.15,,4.8,12.77,9.62,
221,27.48,79.86,65.74,,25.96,38.66,68.92,
222,27.1,64.44,99.29,,31.35,66.11,97.47,
223,16.35,25.58,51.07,,19.76,36.96,41.56,
224,22.21,41.27,14.07,,6.54,9.65,15.21,
225,11.9,5.04,17.73,,4.9,7.85,14.29,
226,3.11,12.51,14.37,,8.95,20.29,32.95,
227,14.55,17.5,37.31,,12.63,9.87,21.11,
,,,,,,,,
mean,17.62903509,30.93973684,44.23741228,,16.9304386,31.21302632,48.96807018,
